id,name,host_id,host_name,neighbourhood_group,neighbourhood,latitude,longitude,room_type,price,minimum_nights,number_of_reviews,last_review,reviews_per_month,calculated_host_listings_count,availability_365,number_of_reviews_ltm,license
290701,Home in Amsterdam · ★4.86 · 1 bedroom · 1 bed · 1 private bath,1491565,David,,Centrum-West,52.37561,4.9,Private room,238,3,415,5/29/2023,3.02,2,197,41,0363 DF01 FBC0 496B 9730
483779,Rental unit in Amsterdam · ★4.88 · 2 bedrooms · 1 bed · 1 private bath,2395278,Alex,,Slotervaart,52.3509,4.83293,Private room,100,2,37,10/22/2017,0.46,1,0,0,
494433,Rental unit in Amsterdam · ★4.81 · 2 bedrooms · 2 beds · 1 bath,907405,Yahav,,De Baarsjes - Oud-West,52.36812,4.85422,Entire home/apt,260,30,37,4/21/2023,0.28,2,130,13,0363 7C68 38F7 176D 8CDF
97221,Bed and breakfast in Amsterdam · ★4.62 · 1 bedroom · 2 beds · 1 shared bath,195859,Gianni,,Slotervaart,52.34801,4.83639,Private room,80,2,283,5/21/2023,1.95,2,261,55,
503629,Rental unit in Amsterdam · ★4.82 · 3 bedrooms · 3 beds · 1 bath,2483843,Alban,,Zuid,52.3543,4.87701,Entire home/apt,120,5,11,7/28/2019,0.09,1,0,0,0363 E959 5BC3 BBA6 1C6E
291752,Rental unit in Amsterdam · ★4.87 · 1 bedroom · 1 bed · 1 bath,1511330,Ton,,Oud-Oost,52.35179,4.91082,Private room,126,3,242,5/29/2023,1.74,1,230,33,
137026,Townhouse in Amsterdam · ★4.76 · 4 bedrooms · 4 beds · 2.5 baths,670266,Ton & Fede,,De Pijp - Rivierenbuurt,52.35178,4.90699,Entire home/apt,265,2,104,5/6/2023,0.75,1,110,5,0363 67D6 8568 BA8A F738
505012,Rental unit in Amsterdam · ★4.74 · 3 bedrooms · 5 beds · 1 bath,1645998,Djoke,,Centrum-Oost,52.36412,4.88757,Entire home/apt,475,2,63,5/10/2023,0.49,1,6,3,0363 5F8A A57B 18E0 63BB
759299,Rental unit in Amsterdam · ★4.80 · 3 bedrooms · 5 beds · 1 bath,3548522,Susanne,,De Baarsjes - Oud-West,52.36115,4.85209,Entire home/apt,225,2,10,6/27/2022,0.09,3,38,1,0363 8350 2AA2 28A1 C258
515088,Condo in Amsterdam · 1 bedroom · 2 beds · 1.5 baths,2536879,Hansje,,Noord-Oost,52.39675,4.99603,Entire home/apt,180,2,2,3/10/2019,0.03,1,246,0,0363 0A94 AAA2 B228 0695
304082,Bed and breakfast in Amsterdam · ★4.77 · 1 bedroom · 1 bed · 1.5 baths,276068,Mirre,,Centrum-West,52.37239,4.89657,Private room,159,3,248,5/17/2023,1.82,1,250,72,
304143,Boat in Amsterdam · ★4.55 · 1 bedroom · 1 bed · 1 bath,1565319,Dick,,Oud-Oost,52.3623,4.92028,Entire home/apt,88,28,52,3/7/2020,0.38,1,0,0,0363AF9644094CEBCE6B
761411,Condo in Amsterdam · ★4.75 · 1 bedroom · 1 bed · 1 shared bath,4013546,Xsjong,,Noord-Oost,52.40164,4.95106,Private room,62,3,290,5/30/2023,2.25,2,268,22,
306852,Rental unit in Amsterdam · ★4.63 · 2 bedrooms · 2 beds · 1.5 baths,1141485,Gisèle And Simon,,Centrum-Oost,52.35931,4.89844,Entire home/apt,200,4,32,4/1/2023,0.25,3,0,1,0363 33C3 B936 3911 FC42
515749,Boat in Amsterdam · ★4.87 · 1 bedroom · 1 bed · 1 bath,2540480,Derk,,Centrum-Oost,52.35902,4.89606,Private room,205,3,234,5/29/2023,1.76,1,277,38,
768274,Rental unit in Amsterdam · ★4.83 · 1 bedroom · 1 bed · 2 baths,3678216,J & R,,Westerpark,52.38855,4.88521,Entire home/apt,327,3,77,6/1/2023,0.65,1,155,7,0363 7A50 18E7 51D1 B7F9
768737,Boat in Amsterdam · ★4.81 · 1 bedroom · 1 bed · 1.5 baths,3877342,Nicole,,Westerpark,52.37824,4.86826,Private room,109,2,336,6/4/2023,2.75,3,11,55,
515921,Rental unit in Amsterdam · ★4.30 · 2 bedrooms · 1 bed · 1.5 baths,2541099,Anne-Marie,,Zuid,52.35022,4.8525,Entire home/apt,175,2,91,5/29/2023,0.68,1,30,12,0363 676E D52D A47D 768A
517996,Rental unit in Amsterdam · ★4.88 · 1 bedroom · 1 bed · 1 bath,2550339,Aemilia,,Centrum-West,52.37827,4.88568,Entire home/apt,500,3,27,5/5/2023,0.21,1,330,4,0363 7EFC D96F 5878 3F49
307497,Boat in Amsterdam · ★4.86 · 10 bedrooms · 26 beds · 2.5 baths,176944339,Dion,,Westerpark,52.39185,4.8869,Entire home/apt,1239,2,107,5/28/2023,0.82,2,220,6,Exempt
307621,Rental unit in Amsterdam · ★4.83 · 1 bedroom · 1 bed · 1 bath,1141485,Gisèle And Simon,,Centrum-Oost,52.35871,4.89616,Entire home/apt,155,3,6,3/27/2023,0.05,3,0,4,0363 33C3 B936 3911 FC42
771217,Houseboat in Amsterdam · ★5.0 · 3 bedrooms · 3 beds · 2.5 baths,4068486,Danielle,,Zuid,52.34091,4.84802,Entire home/apt,290,3,10,1/2/2019,0.11,1,0,0,0363 D807 AD6C 499A F871
308028,Rental unit in Amsterdam · ★4.75 · 1 bedroom · 1 bed · Private half-bath,1141485,Gisèle And Simon,,Centrum-Oost,52.35972,4.8975,Private room,100,3,36,2/28/2023,0.32,3,0,1,
522471,Rental unit in Amsterdam · ★4.96 · 3 bedrooms · 5 beds · 1.5 baths,2569931,Harriet,,Bos en Lommer,52.3774,4.851,Entire home/apt,190,8,26,1/6/2023,0.21,1,0,2,0363 1139 9247 9E72 640C
771343,Rental unit in Amsterdam · ★4.89 · 1 bedroom · 1 bed · 1 private bath,2313061,Marcel,,Centrum-West,52.37641,4.88303,Private room,150,1,669,6/1/2023,6.52,2,143,106,
528022,Boat in Amsterdam · ★4.85 · 1 bedroom · 1 bed · 1.5 baths,2594559,Els,,Westerpark,52.39114,4.88846,Private room,110,2,267,5/28/2023,3.29,1,228,40,
538723,Condo in Amsterdam · ★4.84 · 2 bedrooms · 2 beds · 1.5 baths,356740,Dimphy,,Watergraafsmeer,52.354,4.93965,Entire home/apt,140,5,57,1/1/2020,0.43,1,0,0,0363 D990 F92F DECF 88D4
311124,Rental unit in Amsterdam · ★4.76 · 1 bedroom · 1 bed · 1 bath,1600010,Anke & Robert,,Centrum-West,52.37104,4.87713,Entire home/apt,325,5,88,5/26/2023,0.65,1,351,3,0363 59D8 7D30 6CFA DC81
771758,Bed and breakfast in Amsterdam · ★4.59 · 1 bedroom · 1 bed · 1 shared bath,195859,Gianni,,Slotervaart,52.34985,4.83578,Private room,75,2,258,5/13/2023,2.09,2,256,59,
319985,Rental unit in De Pijp · ★4.75 · 1 bedroom · 2 beds · 1 bath,1640702,J,,De Pijp - Rivierenbuurt,52.35669,4.90187,Entire home/apt,336,1,516,5/26/2023,3.82,2,38,90,0363 7D88 E1E8 F521 9A10
549310,Rental unit in Amsterdam · ★4.55 · 2 bedrooms · 4 beds · 1 bath,2699033,Barbara,,De Baarsjes - Oud-West,52.37126,4.86241,Entire home/apt,250,2,58,5/5/2023,0.6,1,0,8,0363 35CD 76C9 04D4 1A21
553514,Rental unit in Amsterdam · ★4.41 · Studio · 1 bed · 1.5 baths,618589,Mirjam,,Westerpark,52.38444,4.86916,Entire home/apt,80,2,162,2/16/2020,1.28,1,125,0,0363 AD82 ADCF 17F3 C3EA
775655,Rental unit in Amsterdam · ★4.61 · 1 bedroom · 1 bed · 1 bath,4091515,Karin,,Centrum-Oost,52.37026,4.89931,Private room,163,2,451,6/3/2023,3.51,2,268,36,
556829,Rental unit in Amsterdam · ★4.64 · 1 bedroom · 1 bed · 1 bath,2737834,Sophia,,Buitenveldert - Zuidas,52.33558,4.86878,Entire home/apt,139,3,27,8/29/2022,0.21,2,0,3,0363 957A 9061 D805 A3EC
568446,Rental unit in Amsterdam · ★4.82 · 2 bedrooms · 2 beds · 1 bath,2797260,Noriko,,Centrum-Oost,52.37079,4.90153,Entire home/apt,150,3,109,8/4/2022,0.83,1,0,1,0363 2BD0 289D BF51 4A09
327285,Home in Amsterdam · ★4.93 · 1 bedroom · 6 beds · 1.5 baths,1672823,Ester,,De Pijp - Rivierenbuurt,52.35625,4.89323,Private room,250,2,584,5/29/2023,4.27,2,1,44,0363 8A88 B129 62B5 BD4E
778820,Rental unit in Amsterdam · 1 bedroom · 1 bed · 1 bath,4106698,Co,,De Baarsjes - Oud-West,52.35982,4.85635,Entire home/apt,110,3,2,4/6/2018,0.03,1,0,0,0363 FB65 8DE6 CA89 1A9B
331946,Loft in Amsterdam · ★4.88 · 4 bedrooms · 5 beds · 2 baths,1687595,Sebastiaan,,De Baarsjes - Oud-West,52.3606,4.85739,Entire home/apt,220,3,27,7/21/2019,0.23,1,6,0,0363 A942 21DC C431 1AD1
570753,Bed and breakfast in Amsterdam · ★4.87 · 1 bedroom · 2 beds · 1.5 shared baths,2439449,Henriette,,Zuid,52.34904,4.86765,Private room,90,4,380,2/4/2023,2.88,1,76,8,
780674,Rental unit in Amsterdam · ★4.88 · 1 bedroom · 1 bed · 1 bath,4117326,Bas,,Centrum-Oost,52.36855,4.90766,Entire home/apt,149,2,34,9/24/2022,0.29,1,0,2,0363 145B 25EE AB16 EB91
575603,Loft in Amsterdam · ★4.85 · 4 bedrooms · 4 beds · 2.5 baths,2830952,Henning,,Centrum-Oost,52.36112,4.89462,Entire home/apt,245,5,20,1/4/2023,0.19,2,0,3,0363 6703 A9A1 6C28 ECD5
343094,Townhouse in Watergraafsmeer · ★4.89 · 1 bedroom · 1 bed · 1 private bath,1740785,Rob & Fang,,Oud-Oost,52.35715,4.90926,Private room,108,3,475,5/18/2023,3.52,1,131,55,
782254,Rental unit in Amsterdam · ★4.66 · 2 bedrooms · 3 beds · 1 bath,4125951,Daniela,,Centrum-West,52.37142,4.89036,Entire home/apt,399,4,57,6/28/2022,0.45,1,11,1,0363 8627 FC55 F473 7A25
357980,Townhouse in Amsterdam · ★4.86 · 4 bedrooms · 4 beds · 1.5 baths,1811745,Marre,,De Baarsjes - Oud-West,52.36348,4.87648,Entire home/apt,245,2,125,5/7/2023,0.92,1,5,23,0363 799F 0610 C059 F9F4
366438,Condo in Amsterdam · ★4.74 · 1 bedroom · 1 bed · 1.5 baths,1849988,Nicolet,,Centrum-Oost,52.36737755,4.896707134,Private room,176,3,477,5/29/2023,3.51,1,99,43,0363 BD40 0F80 50E7 8478
579851,Guest suite in Amsterdam · ★4.97 · 1 bedroom · 1 bed · 1 private bath,2851886,Sonja,,Westerpark,52.39144,4.88436,Private room,150,2,552,4/14/2023,4.25,1,28,44,0363 74BB 1569 D1B7 ADBE
785432,Rental unit in Amsterdam · ★4.78 · 2 bedrooms · 3 beds · 1 bath,2586026,Nathalie,,Centrum-Oost,52.36856,4.89896,Entire home/apt,250,2,955,5/23/2023,7.49,1,40,102,0363 9012 937A BE0A DCB1
582028,Rental unit in Amsterdam · ★4.75 · 1 bedroom · 1 bed · 1.5 baths,2865851,Oliver,,Slotervaart,52.36022,4.84346,Entire home/apt,145,7,12,3/18/2023,0.1,1,147,2,0363 6AE3 C6BD AA79 AB13
582382,Townhouse in Amsterdam · ★4.78 · 2 bedrooms · 2 beds · 1.5 baths,2868026,Emer,,Oud-Noord,52.39442,4.91478,Entire home/apt,170,5,20,12/27/2019,0.15,1,0,0,0363 DAA7 B561 AC39 BB65
367107,Condo in Amsterdam · ★5.0 · 1 bedroom · 1 bed · 1.5 baths,1853421,Marijn,,Centrum-Oost,52.36263,4.90216,Entire home/apt,337,5,17,4/18/2023,0.18,1,77,5,0363 1761 5C93 2C93 93FE
367491,Rental unit in Amsterdam · ★4.91 · 1 bedroom · 1 bed · 1.5 baths,1855417,Maarten,,De Baarsjes - Oud-West,52.364,4.87814,Entire home/apt,209,3,80,5/15/2023,0.59,1,1,8,0363 7096 B559 45DB 421C
794322,Boat in Amsterdam · ★4.76 · 1 bedroom · 1 bed · 1 private bath,4184910,Lydia,,Centrum-Oost,52.36863707,4.899095646,Private room,269,1,350,5/19/2023,2.79,1,255,21,0363 7FCD 7E75 8341 EB0E
379143,Rental unit in Amsterdam · ★4.86 · 1 bedroom · 1 bed · 1 shared bath,1887873,Dom,,De Pijp - Rivierenbuurt,52.3548,4.90533,Private room,429,3,153,5/29/2023,2.04,1,89,2,
588020,Rental unit in Amsterdam · ★4.54 · 3 bedrooms · 6 beds · 1 bath,1759884,Ivan,,Centrum-Oost,52.36918,4.91316,Entire home/apt,410,3,277,5/21/2023,2.74,3,220,69,Exempt
800723,Rental unit in Amsterdam · ★4.83 · 2 bedrooms · 2 beds · 1 bath,4215174,Hinde,,De Baarsjes - Oud-West,52.36884,4.86127,Entire home/apt,150,4,18,2/18/2020,0.14,1,156,0,0363 6CD0 61EE A298 8E86
590236,Rental unit in Amsterdam · ★4.87 · 1 bedroom · 1 bed · 1 bath,2912339,Kelli,,De Baarsjes - Oud-West,52.36809,4.85436,Entire home/apt,140,4,47,4/14/2023,0.36,1,239,5,0363 058A D932 3063 B1F7
379885,Houseboat in Watergraafsmeer · ★4.70 · 1 bedroom · 1 bed · 1 private bath,1907015,Masha,,De Pijp - Rivierenbuurt,52.35465,4.9061,Private room,287,3,94,4/14/2023,0.7,1,138,10,
801544,Rental unit in Amsterdam · ★4.57 · 2 bedrooms · 2 beds · 1 bath,1657181,Charlie,,De Pijp - Rivierenbuurt,52.35205,4.90267,Entire home/apt,175,3,97,10/17/2022,0.79,1,2,6,0363 B7E4 8394 0A13 58F5
